id,title,text,date
1,"2025년 EU 탄소국경세 최종 합의","EU의 CBAM(탄소국경조정제)이 2026년 1월 전면 시행된다. 철강·알루미늄·시멘트 등 핵심 품목에 톤당 최대 90유로가 부과될 예정이며, 국내 수출기업 대응이 시급하다.","2025-06-12"
2,"韓-美 반도체 공급망 동맹 강화","서울에서 열린 제3차 한·미 첨단산업 포럼에서 양국이 첨단 공정 R&D·인력 교류 확대 MOU를 체결했다. 총 50억 달러 규모 민·관 합작 투자안이 포함됐다.","2025-06-10"
3,"디지털세 글로벌 합의 초안 발표","OECD/G20 포괄적 이행체가 구글·애플 등 초대형 IT기업 대상 디지털세 과세 기준을 2027년부터 적용하기로 잠정 합의했다. 매출 200억달러·이익률 10% 이상 기업이 대상이다.","2025-06-08"
4,"국내 전기차 충전표준 ‘플러그&차지’ 도입","산업부는 2025년 12월부터 신규 급속충전기에 ISO-15118 인증 의무화를 발표했다. 충전 인증 카드 없이 케이블 연결만으로 결제되는 ‘플러그&차지’가 본격 확산된다.","2025-06-05"
5,"美, 對中 AI 반도체 수출 통제 강화","미 상무부가 차세대 3 nm 이하 GPU·AI 가속기를 중국향으로 수출 시 별도 라이선스 의무를 부과했다. 글로벌 반도체 공급망에 추가 충격이 예상된다.","2025-05-28"
6,"韓, 친환경 해상풍력 15 GW 로드맵 발표","국무회의에서 2035년까지 해상풍력 누적 15 GW 달성을 목표로 한 종합 추진전략이 의결됐다. REC 가중치 상향과 해저송전선로 국고지원이 포함된다.","2025-05-25"
7,"美 연준, 기준금리 0.25%p 인하 단행","FOMC는 글로벌 경기 둔화 우려 속에 기준금리를 5.00→4.75%로 인하했다. 원·달러 환율은 하루 만에 35원 급락하며 1 285원 선을 기록했다.","2025-05-23"
8,"日, 첨단소재 수출규제 전면 해제","일본 경제산업성은 불화수소·포토레지스트 등 3개 품목에 대한 수출 규제를 6월부터 전면 철폐한다고 발표했다. 2019년 도입 이후 6년 만이다.","2025-05-20"
9,"EU, AI 법(The AI Act) 최종 승인","유럽의회가 생성형 AI의 투명성·위험등급 의무를 담은 AI Act를 최종 통과시켰다. GPT-4o급 모델에는 ‘시스템카드’ 공개와 위험관리 보고서 제출이 요구된다.","2025-05-15"
10,"韓 무역보험공사, 중소기업 ESG 전용 보험 출시","무보는 ESG 인증·탄소감축 조건을 충족한 중소 수출기업에 보험료 30%를 할인해 주는 ‘ESG 플러스’ 상품을 출시했다. 연말까지 1 000억 원 한도로 운영된다.","2025-05-12"
