id,title,text,date
1,2022년 반도체 수출 정책 발표,"정부는 반도체 산업 경쟁력 강화를 위한 수출 지원 정책을 발표하였다. 주요 내용은 세제 혜택과 인력 양성 강화이다.",2022-03-15
2,2021년 탄소중립 이행계획 수립,"2050 탄소중립을 위한 이행 로드맵이 발표되었으며, 산업계의 온실가스 감축 방안이 중점 포함되었다.",2021-06-30
3,2023년 무역확장법 개정안,"수입 철강 제품에 대한 관세 조정 및 원산지 기준 강화 방침이 포함된 무역확장법 개정안이 국회를 통과하였다.",2023-11-20
4,2020년 수출입은행 금융지원 확대,"수출 기업을 위한 특별 금융지원 프로그램이 시행되어 중소기업 대상 자금 조달이 보다 원활해질 전망이다.",2020-08-10
5,2024년 미국-한국 통상협의회 개최,"미국과 한국은 통상 협의회를 열고 반도체, 전기차 배터리 등 핵심 산업 공급망에 대한 협력을 논의하였다.",2024-01-17
6,2022년 디지털무역 추진전략,"정부는 디지털 무역 활성화를 위한 플랫폼 표준화와 수출 인증 간소화를 포함한 전략을 발표했다.",2022-09-05
7,2023년 원자재 수입 안정화 조치,"정부는 원자재 가격 급등에 대응해 전략물자 수입선 다변화 및 국내 비축 확대 방안을 추진하였다.",2023-02-12
8,2021년 노동시장 구조 개편안 발표,"주 52시간제 보완 및 플랫폼 노동자 보호 정책을 포함한 노동시장 구조 개편안이 발표되었다.",2021-12-01
9,2020년 그린뉴딜 정책 시행,"그린 뉴딜의 일환으로 태양광 및 풍력 발전에 대한 대규모 투자 계획이 공표되었다.",2020-07-14
10,2022년 중소기업 기술수출 지원 확대,"기술 기반 중소기업을 대상으로 한 수출 바우처 확대와 온라인 마케팅 지원 방안이 시행된다.",2022-04-21
11,2023년 AI 윤리 가이드라인 발표,"정부는 인공지능 기술의 윤리적 활용을 위한 기본 원칙과 기업 가이드라인을 공개하였다.",2023-05-02
12,2024년 한-EU 무역장벽 해소 합의,"한-EU FTA 기반으로 비관세장벽 해소에 합의하며, 인증 절차 간소화가 추진된다.",2024-03-28
13,2021년 데이터 경제 활성화 방안,"공공데이터 개방 확대 및 데이터 거래소 활성화 정책이 시행된다.",2021-10-09
14,2023년 친환경차 보급 확대,"전기차 충전 인프라 구축과 세제 감면 혜택이 강화되어 친환경차 보급이 본격화된다.",2023-06-25
15,2020년 일본 수출규제 대응 정책,"소재·부품·장비 산업 자립화를 위한 대규모 R&D 지원 정책이 발표되었다.",2020-09-19
16,2022년 글로벌 공급망 대응 전략,"반도체 및 배터리 주요 원자재 확보를 위한 국외 협력 강화 및 투자 확대 방안이 제시되었다.",2022-11-11
17,2024년 통관절차 간소화 시스템 도입,"전자 통관 플랫폼 확대 도입으로 수출입 기업의 행정 부담이 완화된다.",2024-02-08
18,2023년 디지털세 도입 논의,"글로벌 IT기업 과세 문제 해결을 위한 디지털세 도입에 대한 국제 협의가 진행 중이다.",2023-04-14
19,2021년 농식품 수출 전략 고도화,"K-푸드의 브랜드화를 통한 농식품 수출 확대 전략이 추진된다.",2021-07-20
20,2020년 통계청 산업통계 정비,"통계 품질 향상과 정책 수립을 위한 산업별 통계 기준 정비가 완료되었다.",2020-11-03
